Time,"High Vacuum Gauge","Low Vacuum Gauge","ProfEng-1.Target Set Point Loop 1","Plate Control.Process Value","Plate Control.Set Point","Plate Control.Closed-Loop Set Point","ProfEng-1.Target Set Point Loop 2","Shroud Control.Process Value","Shroud Control.Set Point","Shroud Control.Closed-Loop Set Point","LN2 Scale","LN2 Tare","LN2 Final","Plate Control.Profile Setpoint","Plate Control.Remote Setpoint","Shroud Control.Profile Setpoint","Shroud Control.Remote Setpoint","Mod3-1 RTDs.UI1-Filtered Process Value","Mod3-1 RTDs.UI2-Filtered Process Value","Mod3-1 RTDs.UI3-Filtered Process Value","Mod3-1 RTDs.UI4-Filtered Process Value","CommsErrorCode","CommsErrorItem","CommsErrors"
02/19/2026 10:15:00,5.6700E+002,7.7000E+002,2.3000E+001,2.3036E+001,2.3000E+001,2.3000E+001,2.3000E+001,2.1670E+001,2.3000E+001,2.3000E+001,0.0000E+000,2.7200E+002,-2.7200E+002,2.3000E+001,0.0000E+000,2.3000E+001,0.0000E+000,-1.7778E+001,-1.7778E+001,-1.7778E+001,-1.7778E+001,0,"",0
02/19/2026 10:15:15,5.6300E+002,7.7000E+002,2.3000E+001,2.3049E+001,2.3000E+001,2.3000E+001,2.3000E+001,2.1675E+001,2.3000E+001,2.3000E+001,0.0000E+000,2.7200E+002,-2.7200E+002,2.3000E+001,0.0000E+000,2.3000E+001,0.0000E+000,-1.7778E+001,-1.7778E+001,-1.7778E+001,-1.7778E+001,0,"",0
02/19/2026 10:15:30,5.6300E+002,7.7000E+002,2.3000E+001,2.3057E+001,2.3000E+001,2.3000E+001,2.3000E+001,2.1666E+001,2.3000E+001,2.3000E+001,0.0000E+000,2.7200E+002,-2.7200E+002,2.3000E+001,0.0000E+000,2.3000E+001,0.0000E+000,-1.7778E+001,-1.7778E+001,-1.7778E+001,-1.7778E+001,0,"",0
02/19/2026 10:15:45,5.6700E+002,7.7000E+002,2.3000E+001,2.3070E+001,2.3000E+001,2.3000E+001,2.3000E+001,2.1683E+001,2.3000E+001,2.3000E+001,0.0000E+000,2.7200E+002,-2.7200E+002,2.3000E+001,0.0000E+000,2.3000E+001,0.0000E+000,-1.7778E+001,-1.7778E+001,-1.7778E+001,-1.7778E+001,0,"",0
02/19/2026 10:16:00,5.6900E+002,7.7000E+002,2.3000E+001,2.3047E+001,2.3000E+001,2.3000E+001,2.3000E+001,2.1687E+001,2.3000E+001,2.3000E+001,0.0000E+000,2.7200E+002,-2.7200E+002,2.3000E+001,0.0000E+000,2.3000E+001,0.0000E+000,-1.7778E+001,-1.7778E+001,-1.7778E+001,-1.7778E+001,0,"",0
02/19/2026 10:16:15,5.6500E+002,7.7000E+002,2.3000E+001,2.3035E+001,2.3000E+001,2.3000E+001,2.3000E+001,2.1675E+001,2.3000E+001,2.3000E+001,0.0000E+000,2.7200E+002,-2.7200E+002,2.3000E+001,0.0000E+000,2.3000E+001,0.0000E+000,-1.7778E+001,-1.7778E+001,-1.7778E+001,-1.7778E+001,0,"",0
02/19/2026 10:16:30,5.6900E+002,7.7000E+002,2.3000E+001,2.3053E+001,2.3000E+001,2.3000E+001,2.3000E+001,2.1697E+001,2.3000E+001,2.3000E+001,0.0000E+000,2.7200E+002,-2.7200E+002,2.3000E+001,0.0000E+000,2.3000E+001,0.0000E+000,-1.7778E+001,-1.7778E+001,-1.7778E+001,-1.7778E+001,0,"",0
02/19/2026 10:16:45,5.6700E+002,7.7000E+002,2.3000E+001,2.3044E+001,2.5000E+001,2.3159E+001,2.3000E+001,2.1698E+001,2.3000E+001,2.3000E+001,0.0000E+000,2.7200E+002,-2.7200E+002,2.3000E+001,0.0000E+000,2.3000E+001,0.0000E+000,-1.7778E+001,-1.7778E+001,-1.7778E+001,-1.7778E+001,0,"",0
02/19/2026 10:17:00,5.6900E+002,7.7000E+002,2.3000E+001,2.3030E+001,2.5000E+001,2.3859E+001,2.3000E+001,2.1686E+001,2.5000E+001,2.2321E+001,0.0000E+000,2.7200E+002,-2.7200E+002,2.3000E+001,0.0000E+000,2.3000E+001,0.0000E+000,-1.7778E+001,-1.7778E+001,-1.7778E+001,-1.7778E+001,0,"",0
02/19/2026 10:17:15,5.6500E+002,7.7000E+002,2.3000E+001,2.3024E+001,2.5000E+001,2.4664E+001,2.3000E+001,2.1698E+001,2.5000E+001,2.3125E+001,0.0000E+000,2.7200E+002,-2.7200E+002,2.3000E+001,0.0000E+000,2.3000E+001,0.0000E+000,-1.7778E+001,-1.7778E+001,-1.7778E+001,-1.7778E+001,0,"",0
02/19/2026 10:17:30,5.6800E+002,7.7000E+002,2.3000E+001,2.3020E+001,2.5000E+001,2.5000E+001,2.3000E+001,2.1671E+001,2.5000E+001,2.3826E+001,0.0000E+000,2.7200E+002,-2.7200E+002,2.3000E+001,0.0000E+000,2.3000E+001,0.0000E+000,-1.7778E+001,-1.7778E+001,-1.7778E+001,-1.7778E+001,0,"",0
02/19/2026 10:17:45,5.6800E+002,7.7000E+002,2.3000E+001,2.3029E+001,2.5000E+001,2.5000E+001,2.3000E+001,2.1673E+001,2.5000E+001,2.4630E+001,0.0000E+000,2.7200E+002,-2.7200E+002,2.3000E+001,0.0000E+000,2.3000E+001,0.0000E+000,-1.7778E+001,-1.7778E+001,-1.7778E+001,-1.7778E+001,0,"",0
02/19/2026 10:18:00,5.7000E+002,7.7000E+002,1.0500E+002,2.3018E+001,2.5000E+001,2.5000E+001,1.0500E+002,2.1676E+001,2.5000E+001,2.5000E+001,0.0000E+000,2.7200E+002,-2.7200E+002,2.5050E+001,0.0000E+000,2.5050E+001,0.0000E+000,-1.7778E+001,-1.7778E+001,-1.7778E+001,-1.7778E+001,0,"",0
02/19/2026 10:18:15,5.5800E+002,7.7000E+002,1.0500E+002,2.3011E+001,2.5000E+001,2.5800E+001,1.0500E+002,2.1684E+001,2.5000E+001,2.5800E+001,0.0000E+000,2.7200E+002,-2.7200E+002,2.5800E+001,0.0000E+000,2.5800E+001,0.0000E+000,-1.7778E+001,-1.7778E+001,-1.7778E+001,-1.7778E+001,0,"",0
02/19/2026 10:18:30,5.6700E+002,7.7000E+002,1.0500E+002,2.3026E+001,2.5000E+001,2.6500E+001,1.0500E+002,2.1680E+001,2.5000E+001,2.6500E+001,0.0000E+000,2.7200E+002,-2.7200E+002,2.6550E+001,0.0000E+000,2.6550E+001,0.0000E+000,-1.7778E+001,-1.7778E+001,-1.7778E+001,-1.7778E+001,0,"",0
